user_id,kind,photo_id,source_url,file_path,width,height,bytes
473977204,avatar,456239017,"https://sun9-26.userapi.com/s/v1/ig2/fGv5tXB7X2CZiLrdaQUaoX4RR9hv7QNP9JiyYSE_uOc16tje6eQkBGQXllW95Cc6VFroTcImigYpU6-NK9QxdBQs.jpg?quality=96&as=32x40,48x60,72x90,108x135,160x200,240x299,360x449,480x599,540x674,640x799,720x898,1080x1347,1280x1597,1440x1797,1728x2156&from=bu&cs=1728x0",vk_user_photos/473977204/avatar.jpg,1728,2156,1963844
473977204,previous_avatar,457246004,"https://sun9-14.userapi.com/s/v1/ig2/_gqNs6OGgjzApUKKAyKQ8VnlDKxDfn30mrClnPK9qe0o9J9BqtRcY80b2GXmzJ_yqC6CM60ELm4nfzCDtO19gPi8.jpg?quality=95&as=32x45,48x67,72x101,108x151,160x224,240x336,360x505,480x673,540x757,548x768&from=bu&cs=548x0",vk_user_photos/473977204/previous_avatar.jpg,548,768,303312
474361611,avatar,457243122,"https://sun9-19.userapi.com/s/v1/ig2/BlxlbESAOmCZRdnP6YjHNpKEr2lDPiIOWHlwv5gQholMZTxKkUt75yq1V8fCGBP40WFaAf2SL3O3s0qxHvew0i4R.jpg?quality=95&as=32x40,48x60,72x90,108x135,160x200,240x300,360x450,480x600,540x674,640x799,720x899,1080x1349&from=bu&cs=1080x0",vk_user_photos/474361611/avatar.jpg,1080,1349,662811
474361611,previous_avatar,457243121,"https://sun9-15.userapi.com/s/v1/ig2/qhRn9_4kvhMIJX7BHJ2el9-iincp7Vyaafh-_A-LiaDAYHjYBSAqoVI28kxuuTM4NRVsj7cktIUw56UPEhk4iRQB.jpg?quality=95&as=32x40,48x60,72x90,108x135,160x200,240x300,360x450,480x600,540x674,640x799,720x899,1080x1349&from=bu&cs=1080x0",vk_user_photos/474361611/previous_avatar.jpg,1080,1349,749011
474629978,avatar,457241738,"https://sun9-74.userapi.com/s/v1/ig2/tyL-i9D4RNYRKR2ADwNxrymrV4jihjloEsUucta_KmklEW6MS0gaPdrJRtYbl_8xZS6iQvF_WXJEIGcPk7KI-yYJ.jpg?quality=96&as=32x30,48x44,72x66,108x100,160x148,240x222,360x332,480x443,540x499,640x591&from=bu&cs=640x0",vk_user_photos/474629978/avatar.jpg,640,591,88171
474629978,previous_avatar,457241279,"https://sun9-77.userapi.com/s/v1/ig2/HD41hT4HebW3gZDaTAlHuMVjLb-pePGzc-aL_td6B22ZQOaP-7TMIOKwe4ImBvV2rdYmBYLssGvXRRlouqUTimIB.jpg?quality=96&as=32x34,48x50,72x76,108x114,160x168,240x252,360x379,480x505,540x568,640x673,720x757,1079x1135&from=bu&cs=1079x0",vk_user_photos/474629978/previous_avatar.jpg,1079,1135,545335
475058568,avatar,457239096,"https://sun9-41.userapi.com/s/v1/ig2/B_5-cwjzG3GbQDzWsXSkS5ZoS1Tr0rFFUdlntvIMfifTl6EGsoMPuAf_ZHtxvZKH7Y5pMUHT9xhzDxCxaGesTtc2.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,450x600&from=bu&cs=450x0",vk_user_photos/475058568/avatar.jpg,450,600,170989
475058568,previous_avatar,457239118,"https://sun9-31.userapi.com/s/v1/ig2/EUsA_D58-lzx0Gwe8RDOCP6Iy68qrCtX3Lio3oPdxxQCygzfiNcjxSJ-dbVnK0s5KXclum6DHqicNhvqEx2NaSZR.jpg?quality=95&as=32x38,48x57,72x85,108x127,160x189,240x283,360x425,450x531&from=bu&cs=450x0",vk_user_photos/475058568/previous_avatar.jpg,450,531,133234
475423191,avatar,457307374,"https://sun9-67.userapi.com/s/v1/ig2/2Z3UxN9Qf6FFOp3mpfM_Ve7Y9fmlchVzup_zBj0pLRClfInIvNBaXLcN3euJ3PNwrXygtXV8JUkvmO93vd7m3HcQ.jpg?quality=95&as=32x30,48x45,72x67,108x101,160x149,240x224,360x336,480x448,540x504,640x597,720x672,1080x1008,1196x1116&from=bu&cs=1196x0",vk_user_photos/475423191/avatar.jpg,1196,1116,604264
475423191,previous_avatar,456239154,"https://sun9-65.userapi.com/s/v1/ig2/IurX9DErglIauhpPv4lybVx6FehOLIwOrLskQyFydneH3_azrnGJzEfsRmA5Ga4IcCITZ87tuv5Ax6TLxFw8D2Rw.jpg?quality=96&as=32x57,48x85,72x128,108x192,160x284,240x427,360x640,480x853,540x960,640x1138,720x1280&from=bu&cs=720x0",vk_user_photos/475423191/previous_avatar.jpg,720,1280,52499
476001857,avatar,457242012,"https://sun9-85.userapi.com/s/v1/ig2/etqtTgr4YZHRSXV1sy-FbMRyA7FqrYZ8VPtHCvNLkW2_CzMY-E3_zYGoSqY7pctE47W45dTfIK1XuY6hy7mAwl6Z.jpg?quality=96&as=32x39,48x58,72x88,108x131,160x195,240x292,360x438,480x584,540x657,640x778,720x876,736x895&from=bu&cs=736x0",vk_user_photos/476001857/avatar.jpg,736,895,106254
476001857,previous_avatar,457241869,"https://sun9-27.userapi.com/s/v1/ig2/x2KcxL6nMcgMZG6EjU22uCaPGHTBEngz4NVHeiW2SHqeuiXl4Tc9owE-ZIL76yAP2TZsUDIXEbtG7JC5v-Rfju63.jpg?quality=96&as=32x32,48x48,72x72,108x109,160x161,240x241,360x362,480x483,540x543,640x643,720x724,736x740&from=bu&cs=736x0",vk_user_photos/476001857/previous_avatar.jpg,736,740,103651
476022712,avatar,456239201,"https://sun9-34.userapi.com/s/v1/ig1/nD6MxARPg3XucqnVY6Gf3NfIqQlgbQ9E8BAgHfa7WW13IiJI3rCoUt3jULT-txR3vl83cVxP.jpg?quality=96&as=32x21,48x32,72x48,108x72,160x107,240x160,360x240,480x320,540x360,640x426,720x480,1080x719,1280x853,1440x959,1800x1199&from=bu&cs=1800x0",vk_user_photos/476022712/avatar.jpg,1800,1199,421536
478608388,avatar,457244472,"https://sun9-76.userapi.com/s/v1/ig2/RGNAzuBV-8meSkmZk1roPyPCGY6CmqixNWFhFc_C8N70AeCjr13AGWee9cT2XvJGWut0Sc9d_CoHOS88PW-QMai6.jpg?quality=96&as=32x57,48x85,72x128,108x192,160x284,240x427,360x640,480x853,526x935&from=bu&cs=526x0",vk_user_photos/478608388/avatar.jpg,526,935,89400
478663876,avatar,457239432,"https://sun9-5.userapi.com/s/v1/ig2/nD90Iu1OjrC7ZlOmdFlvVCGcwfi3GeMOfj7LLuMKoB7Ijqaw6eDL8q9KI56oyWYHWEDPfKTa8RhQS0mwPwT4faeu.jpg?quality=95&as=32x40,48x60,72x90,108x135,160x200,240x300,360x450,480x599,540x674,640x799,720x899,1025x1280&from=bu&cs=1025x0",vk_user_photos/478663876/avatar.jpg,1025,1280,467419
478663876,previous_avatar,457239410,"https://sun9-36.userapi.com/s/v1/ig2/rX-ZbjsHIsrTExK5MU4UjtY9NqY05KU8PO-7UuuiWxS34tH33hPBK8ov7mnlXT4IG5pycwvgQPU5nj8UaelP9Pe0.jpg?quality=95&as=32x40,48x60,72x90,108x135,160x200,240x300,360x450,480x600,540x675,640x800&from=bu&cs=640x0",vk_user_photos/478663876/previous_avatar.jpg,640,800,340724
480367624,avatar,456241921,"https://sun9-6.userapi.com/s/v1/ig1/jeqVF0vLCSvnvzK7bkkOTPTvzRDSQR5zDyy8uGACUhQdbzBZK7AArTSXmFhwO48L6-aoJrC_.jpg?quality=96&as=32x40,48x61,72x91,108x136,160x202,240x303,360x454,480x606,540x682,640x808,720x909,1076x1358&from=bu&cs=1076x0",vk_user_photos/480367624/avatar.jpg,1076,1358,231413
481381620,avatar,457316991,"https://sun9-21.userapi.com/s/v1/ig2/W9Uo55SnFQHOPvoK-jJhZapj0_2dgEQsFrlBseDxQsK-9_2ALUkhykN9BZtzMvMmiIwZo_Sd8o5r0mtkOSqhDroP.jpg?quality=95&as=32x44,48x66,72x99,108x148,160x220,240x329,360x494,430x590&from=bu&cs=430x0",vk_user_photos/481381620/avatar.jpg,430,590,275381
481381620,previous_avatar,457315967,"https://sun9-66.userapi.com/s/v1/ig2/ykdB9Ik8XUWqAbG1PwlcboYiz_WiPmUcFqobLE21CwKctUZUqBFpdXwKXOgIzw6_s9N-FKhw9Gfl_BKARMptHYmC.jpg?quality=95&as=32x41,48x61,72x91,108x137,160x203,240x304,360x456,480x608,540x684,640x811,720x912,772x978&from=bu&cs=772x0",vk_user_photos/481381620/previous_avatar.jpg,772,978,415651
482599722,avatar,457244433,"https://sun9-86.userapi.com/s/v1/ig2/yvgYDkrgad197mPrDFa8tf_NLDsmQzjaX-1Qi4Bxf-lRWVRNFHxcGM3peHoZg7cTE4lF7juMRlPloYH2Zn7qKe_l.jpg?quality=95&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x961,1440x1081,2468x1852&from=bu&cs=2468x0",vk_user_photos/482599722/avatar.jpg,2468,1852,1561535
482599722,previous_avatar,457244429,"https://sun9-26.userapi.com/s/v1/ig2/6Oqw11aSBP9Wq1AMGitt2DjOMAa27ho64GT7gPMejo9WKNsJtE8msCc5qtT3jAt1yEX3e8EQZJ7yYwURzMJHsXdV.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x721,640x854,720x961,1080x1441,1280x1708,1388x1852&from=bu&cs=1388x0",vk_user_photos/482599722/previous_avatar.jpg,1388,1852,1125082
