id,in_users,in_profiles,in_catalog_users,users_count,profiles_count,catalog_users_count
241374879,no,yes,yes,0,2,2
245081606,no,yes,yes,0,1,1
245642343,no,yes,yes,0,1,1
245939136,no,yes,yes,0,2,2
246039636,no,yes,yes,0,2,2
246749948,no,yes,yes,0,1,1
246986296,no,yes,yes,0,1,1
247906342,no,yes,yes,0,2,2
248139651,no,yes,yes,0,1,1
248828357,no,yes,yes,0,2,2
250232705,no,yes,yes,0,1,1
250873343,no,yes,yes,0,1,1
251140354,no,yes,yes,0,1,1
255480676,no,yes,yes,0,1,1
256044643,no,yes,yes,0,1,1
257701663,no,yes,yes,0,1,1
257745557,no,yes,yes,0,1,1
259895750,no,yes,yes,0,1,1
260352493,no,yes,yes,0,1,1
260647876,no,yes,yes,0,2,2
261319397,no,yes,yes,0,1,1
262006525,no,yes,yes,0,1,1
262147983,no,yes,yes,0,1,1
262508487,no,yes,yes,0,2,2
264825949,no,yes,yes,0,1,1
264867166,no,yes,yes,0,1,1
265494018,no,yes,yes,0,1,1
266353363,no,yes,yes,0,1,1
266983080,no,yes,yes,0,1,1
267955147,no,yes,yes,0,1,1
270115922,no,yes,yes,0,1,1
270126679,no,yes,yes,0,1,1
270433569,no,yes,yes,0,1,1
270805147,no,yes,yes,0,1,1
272340441,no,yes,yes,0,1,1
272421757,no,yes,yes,0,1,1
274004171,no,yes,yes,0,2,2
274665144,no,yes,yes,0,1,1
274766404,no,yes,yes,0,1,1
276623324,no,yes,yes,0,2,2
277216175,no,yes,yes,0,1,1
277529706,no,yes,yes,0,1,1
277696760,no,yes,yes,0,2,2
277766181,no,yes,yes,0,2,2
277798315,no,yes,yes,0,1,1
278638452,no,yes,yes,0,1,1
278978085,no,yes,yes,0,2,2
279654664,no,yes,yes,0,1,1
281400957,no,yes,yes,0,1,1
281663110,no,yes,yes,0,1,1
282137570,no,yes,yes,0,1,1
282371408,no,yes,yes,0,1,1
282641981,no,yes,yes,0,1,1
283783930,no,yes,yes,0,1,1
284339471,no,yes,yes,0,1,1
284880519,no,yes,yes,0,1,1
285941867,no,yes,yes,0,1,1
286032179,no,yes,yes,0,1,1
286052291,no,yes,yes,0,1,1
286343265,no,yes,yes,0,1,1
286636351,no,yes,yes,0,2,2
287386882,no,yes,yes,0,1,1
287797916,no,yes,yes,0,1,1
288243858,no,yes,yes,0,1,1
288334678,no,yes,yes,0,1,1
288382742,no,yes,yes,0,2,2
292458095,no,yes,yes,0,1,1
293467739,no,yes,yes,0,2,2
296163807,no,yes,yes,0,2,2
297584752,no,yes,yes,0,1,1
298428243,no,yes,yes,0,2,2
299185430,no,yes,yes,0,2,2
299502561,no,yes,yes,0,1,1
301466580,no,yes,yes,0,1,1
303406350,no,yes,yes,0,1,1
304207538,no,yes,yes,0,1,1
304554846,no,yes,yes,0,1,1
304942160,no,yes,yes,0,1,1
305072930,no,yes,yes,0,2,2
306842535,no,yes,yes,0,1,1
307110655,no,yes,yes,0,1,1
307492791,no,yes,yes,0,2,2
309656411,no,yes,yes,0,1,1
311077125,no,yes,yes,0,1,1
311662035,no,yes,yes,0,1,1
312376014,no,yes,yes,0,2,2
314534083,no,yes,yes,0,1,1
314658043,no,yes,yes,0,1,1
315896354,no,yes,yes,0,1,1
316067799,no,yes,yes,0,1,1
316122340,no,yes,yes,0,1,1
317092148,no,yes,yes,0,2,2
318278990,no,yes,yes,0,1,1
318911534,no,yes,yes,0,1,1
319680613,no,yes,yes,0,1,1
319695647,no,yes,yes,0,1,1
321016489,no,yes,yes,0,1,1
321889021,no,yes,yes,0,1,1
321896116,no,yes,yes,0,1,1
322248948,no,yes,yes,0,1,1
323543147,no,yes,yes,0,2,2
324283007,no,yes,yes,0,1,1
325419345,no,yes,yes,0,1,1
326278544,no,yes,yes,0,1,1
327806876,no,yes,yes,0,1,1
328375260,no,yes,yes,0,2,2
329553591,no,yes,yes,0,1,1
330897751,no,yes,yes,0,1,1
331294401,no,yes,yes,0,1,1
332538422,no,yes,yes,0,2,2
333075217,no,yes,yes,0,2,2
335977161,no,yes,yes,0,1,1
336789725,no,yes,yes,0,1,1
336882453,no,yes,yes,0,1,1
337316857,no,yes,yes,0,1,1
338708571,no,yes,yes,0,1,1
339186799,no,yes,yes,0,1,1
339606329,no,yes,yes,0,1,1
340139716,no,yes,yes,0,1,1
340302756,no,yes,yes,0,1,1
340555909,no,yes,yes,0,1,1
341026514,no,yes,yes,0,1,1
341306954,no,yes,yes,0,2,2
341438575,no,yes,yes,0,1,1
342296617,no,yes,yes,0,1,1
343333339,no,yes,yes,0,1,1
343585767,no,yes,yes,0,1,1
344285155,no,yes,yes,0,2,2
344850503,no,yes,yes,0,1,1
344995241,no,yes,yes,0,1,1
345559797,no,yes,yes,0,1,1
